runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.452852,1,3,6839,27677,4209,4209,4209,4209,0,1,0,0,0,0,0,0,0,0,0,0.004971,0,0,0,0,0.000692,0.019313,0.045151,0.05286,4.57959,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,30
0.395899,1,3,6839,27677,4209,4209,4209,4209,0,1,0,0,0,0,0,0,0,0,0,0.004471,0,0,0,0,0.000971,0.013684,0.03508,0.042715,3.96132,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,30
0.297032,1,3,6839,27677,4209,4209,4209,4209,0,1,0,0,0,0,0,0,0,0,0,0.0019,0,0,0,0,0.000698,0.018302,0.035582,0.036846,4.59194,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,30
0.481485,1,3,7138,29066,4507,4507,4507,4507,0,1,0,0,0,0,0,0,0,0,0,0.005276,0,0,0,0,0.000684,0.019667,0.046086,0.053917,4.73028,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,31
0.43486,1,3,7138,29066,4507,4507,4507,4507,0,1,0,0,0,0,0,0,0,0,0,0.004655,0,0,0,0,0.000963,0.014641,0.037326,0.045319,4.11155,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,31
0.31548,1,3,7138,29066,4507,4507,4507,4507,0,1,0,0,0,0,0,0,0,0,0,0.001919,0,0,0,0,0.000704,0.018791,0.036452,0.037696,4.73391,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,31
0.515574,1,3,7624,31311,4931,4931,4931,4931,0,1,0,0,0,0,0,0,0,0,0,0.005773,0,0,0,0,0.000701,0.020732,0.04795,0.056281,4.85141,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,32
0.45218,1,3,7624,31311,4931,4931,4931,4931,0,1,0,0,0,0,0,0,0,0,0,0.005016,0,0,0,0,0.000988,0.014967,0.037593,0.045921,4.2056,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,32
0.341127,1,3,7624,31311,4931,4931,4931,4931,0,1,0,0,0,0,0,0,0,0,0,0.002015,0,0,0,0,0.000705,0.020234,0.038503,0.039759,4.90252,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,32
1.10874,4,9,25923,77038,5340,5340,5338,5338,0,4,0,0,0,0,0,0,0,0,0,0.009334,0,0,0,0,0.000923,0.088197,0.515129,0.559334,5.15527,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,33
1.03671,4,9,25923,77038,5340,5340,5338,5338,0,4,0,0,0,0,0,0,0,0,0,0.007691,0,0,0,0,0.001335,0.062867,0.503603,0.547759,4.40648,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,33
0.72117,4,9,25923,77038,5340,5340,5338,5338,0,4,0,0,0,0,0,0,0,0,0,0.002931,0,0,0,0,0.000936,0.08354,0.368758,0.371003,5.07,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,33
1.14021,4,9,26035,77543,5451,5451,5449,5449,0,4,0,0,0,0,0,0,0,0,0,0.009324,0,0,0,0,0.000878,0.088731,0.513041,0.557775,5.19028,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,34
1.10691,4,9,26035,77543,5451,5451,5449,5449,0,4,0,0,0,0,0,0,0,0,0,0.007967,0,0,0,0,0.001343,0.065853,0.534803,0.581004,4.54832,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,34
