runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
0.01066,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7.8e-05,0,0,0,0,0,0,0,0,0.177833,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.011847,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8.8e-05,0,0,0,0,0,0,0,0,0.268341,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.010871,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7.9e-05,0,0,0,0,0,0,0,0,0.206916,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.010747,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7.8e-05,0,0,0,0,0,0,0,0,0.210697,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.018673,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000103,0,0,0,0,0,0,0,0,0.237948,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.019956,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000115,0,0,0,0,0,0,0,0,0.223376,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.012037,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000109,0,0,0,0,0,0,0,0,0.257541,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.012098,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,9.2e-05,0,0,0,0,0,0,0,0,0.269305,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.018575,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000102,0,0,0,0,0,0,0,0,0.231482,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.018852,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000107,0,0,0,0,0,0,0,0,0.140067,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.011088,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7.9e-05,0,0,0,0,0,0,0,0,0.196782,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.011547,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,9e-05,0,0,0,0,0,0,0,0,0.209127,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.011836,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8.4e-05,0,0,0,0,0,0,0,0,0.274824,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.020181,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000167,0,0,0,0,0,0,0,0,0.232212,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.017695,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,9.9e-05,0,0,0,0,0,0,0,0,0.117521,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.018526,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000146,0,0,0,0,0,0,0,0,0.127979,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.010624,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,7.7e-05,0,0,0,0,0,0,0,0,0.234908,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.018663,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000105,0,0,0,0,0,0,0,0,0.132696,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.011777,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,8.7e-05,0,0,0,0,0,0,0,0,0.271352,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.009186,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,6.9e-05,0,0,0,0,0,0,0,0,0.170593,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.011409,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000126,0,0,0,0,0,0,0,0,0.212203,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.018366,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000109,0,0,0,0,0,0,0,0,0.133608,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.019398,0,1,3,11,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0.000112,0,0,0,0,0,0,0,0,0.226295,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
