runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
7.2e-05,0,1,54,141,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.005601,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,1
0.000109,0,1,80,267,78,78,78,78,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.011077,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,2
0.000225,0,1,238,782,235,235,235,235,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.011951,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,3
0.000436,0,1,422,1604,418,418,418,418,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.022269,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,4
0.000525,0,1,505,2011,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.023166,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,5
0.000807,0,1,777,3107,771,771,771,771,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.026505,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,6
0.001006,0,1,981,4084,974,974,974,974,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.031437,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,7
0.002088,0,1,1673,7198,1662,1662,1662,1662,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0.04898,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,11
0.005615,1,3,4417,16496,1864,1864,1864,1864,0,1,0,0,0,0,0,0,0,0,0,2.5e-05,0,0,0,0,2e-06,0.000212,0.000673,0.000811,0.070173,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,13
0.001784,0,1,1558,6661,1548,1548,1548,1548,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0.045393,CBS with AStar,./scenesinput/Berlin_1_256/Berlin_1_256-even-1.scen:,10
