runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
7.1e-05,0,1,54,144,53,53,53,53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012143,CBS with AStar,agents.txt:,1
0.000138,0,1,80,270,78,78,78,78,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.023447,CBS with AStar,agents.txt:,2
0.000369,0,1,238,784,235,235,235,235,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.036017,CBS with AStar,agents.txt:,3
0.000623,0,1,422,1597,418,418,418,418,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.048823,CBS with AStar,agents.txt:,4
0.000768,0,1,505,2004,500,500,500,500,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.056936,CBS with AStar,agents.txt:,5
0.001199,0,1,777,3089,771,771,771,771,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.06861,CBS with AStar,agents.txt:,6
0.001563,0,1,981,4049,974,974,974,974,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.079292,CBS with AStar,agents.txt:,7
0.00197,0,1,1134,4786,1126,1126,1126,1126,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.09203,CBS with AStar,agents.txt:,8
0.002644,0,1,1448,6148,1439,1439,1439,1439,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0.106215,CBS with AStar,agents.txt:,9
0.002978,0,1,1558,6678,1548,1548,1548,1548,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0.114393,CBS with AStar,agents.txt:,10
0.003553,0,1,1673,7214,1662,1662,1662,1662,0,0,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0,0,0,0,0,0.126638,CBS with AStar,agents.txt:,11
0.007591,1,3,4412,16494,1859,1859,1859,1859,0,1,0,0,0,0,0,0,0,0,0,2.2e-05,0,0,0,0,1e-06,0.000218,0.001102,0.001124,0.139599,CBS with AStar,agents.txt:,12
0.007939,1,3,4418,16521,1864,1864,1864,1864,0,1,0,0,0,0,0,0,0,0,0,2.4e-05,0,0,0,0,1e-06,0.00024,0.001171,0.001182,0.153902,CBS with AStar,agents.txt:,13
0.008338,1,3,4537,17093,1982,1982,1982,1982,0,1,0,0,0,0,0,0,0,0,0,2.6e-05,0,0,0,0,2e-06,0.00026,0.001185,0.001195,0.167584,CBS with AStar,agents.txt:,14
0.011657,1,3,4682,17756,2126,2126,2126,2126,0,1,0,0,0,0,0,0,0,0,0,4.3e-05,0,0,0,0,2e-06,0.000297,0.001517,0.001566,0.180551,CBS with AStar,agents.txt:,15
