runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,standard conflicts,runtime of detecting conflicts,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
5.4e-05,0,1,54,141,53,53,53,53,0,1e-06,0,0,0,0,0.00492,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,1
0.000126,0,1,80,267,78,78,78,78,0,1e-06,0,0,0,0,0.009058,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,2
0.000214,0,1,238,782,235,235,235,235,0,1e-06,0,0,0,0,0.013555,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,3
0.000429,0,1,422,1604,418,418,418,418,0,1e-06,0,0,0,0,0.017503,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,4
0.000467,0,1,505,2011,500,500,500,500,0,1e-06,0,0,0,0,0.032104,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,5
0.000748,0,1,777,3107,771,771,771,771,0,3e-06,0,0,0,0,0.034715,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,6
0.001443,0,1,981,4084,974,974,974,974,0,4e-06,0,0,0,0,0.038631,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,7
0.001153,0,1,1134,4814,1126,1126,1126,1126,0,6e-06,0,0,0,0,0.044904,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,8
0.001364,0,1,1448,6129,1439,1439,1439,1439,0,7e-06,0,0,0,0,0.046143,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,9
0.001688,0,1,1558,6661,1548,1548,1548,1548,0,9e-06,0,0,0,0,0.061414,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,10
0.001816,0,1,1673,7198,1662,1662,1662,1662,0,1e-05,0,0,0,0,0.057519,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,11
0.014069,1,3,4411,16468,1859,1859,1859,1859,1,1.9e-05,1e-06,0.000317,0.000675,0.000782,0.069006,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,12
0.004411,1,3,4417,16496,1864,1864,1864,1864,1,2e-05,2e-06,0.000153,0.00052,0.000625,0.072097,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,13
0.005044,1,3,4536,17075,1982,1982,1982,1982,1,2.3e-05,2e-06,0.000183,0.000566,0.000715,0.076671,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,14
0.004975,1,3,4681,17729,2126,2126,2126,2126,1,2.4e-05,1e-06,0.000216,0.000568,0.000686,0.080347,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,15
0.005909,1,3,4969,19108,2413,2413,2413,2413,1,3e-05,1e-06,0.000172,0.000554,0.000676,0.090169,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,16
0.017578,1,3,5148,20011,2591,2591,2591,2591,1,3.6e-05,1e-06,0.000177,0.000626,0.000765,0.090475,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,17
0.006245,1,3,5199,20268,2641,2641,2641,2641,1,3.6e-05,2e-06,0.000175,0.000594,0.000734,0.104796,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,18
0.007121,1,3,5322,20845,2763,2763,2763,2763,1,3.9e-05,2e-06,0.000177,0.000615,0.000756,0.108927,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,19
0.006711,1,3,5392,21214,2832,2832,2832,2832,1,5.8e-05,2e-06,0.000216,0.000704,0.000903,0.126437,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,20
0.012151,1,3,5406,21268,2845,2845,2845,2845,1,4.3e-05,2e-06,0.000219,0.000722,0.000881,0.124139,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,21
0.00738,1,3,5420,21323,2858,2858,2858,2858,1,4.3e-05,1e-06,0.000199,0.000743,0.000898,0.129237,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,22
0.020165,1,3,5466,21558,2903,2903,2903,2903,1,5e-05,2e-06,0.000213,0.000747,0.000931,0.122287,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,23
0.019418,1,3,5641,22304,3077,3077,3077,3077,1,5.2e-05,1e-06,0.000229,0.000749,0.000928,0.128243,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,24
0.008282,1,3,5737,22753,3172,3172,3172,3172,1,6.5e-05,1e-06,0.000258,0.000762,0.000956,0.144767,CBS with AStar,scenesinput/Berlin_1_256-even-1.scen:,25
