runtime,#high-level expanded,#high-level generated,#low-level expanded,#low-level generated,solution cost,min f value,root g value,root f value,#adopt bypasses,standard conflicts,rectangle conflicts,corridor conflicts,target conflicts,mutex conflicts,#merge MDDs,#solve 2 agents,#memoization,runtime of building heuristic graph,runtime of solving MVC,runtime of detecting conflicts,runtime of rectangle conflicts,runtime of corridor conflicts,runtime of mutex conflicts,runtime of building MDDs,runtime of building constraint tables,runtime of building CATs,runtime of path finding,runtime of generating child nodes,preprocessing runtime,solver name,instance name,num_agents
1.3e-05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027734,CBS with AStar,agents.txt:,1
0.000785,0,1,198,479,197,197,197,197,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.039785,CBS with AStar,agents.txt:,1
0.001035,0,1,261,618,260,260,260,260,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.044414,CBS with AStar,agents.txt:,1
0.001737,0,1,366,913,365,365,365,365,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.044283,CBS with AStar,agents.txt:,1
0.002599,0,1,451,1101,450,450,450,450,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.044559,CBS with AStar,agents.txt:,1
0.000588,0,1,166,434,165,165,165,165,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.045972,CBS with AStar,agents.txt:,1
0.000439,0,1,133,353,132,132,132,132,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046455,CBS with AStar,agents.txt:,1
0.000789,0,1,269,662,268,268,268,268,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.036722,CBS with AStar,agents.txt:,1
0.001118,0,1,310,790,309,309,309,309,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.036547,CBS with AStar,agents.txt:,1
0.000393,0,1,123,307,122,122,122,122,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.035243,CBS with AStar,agents.txt:,1
0.000921,0,1,171,454,169,169,169,169,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.087889,CBS with AStar,agents.txt:,2
0.001161,0,1,299,1052,297,297,297,297,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.089916,CBS with AStar,agents.txt:,2
0.000921,0,1,300,952,298,298,298,298,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.058785,CBS with AStar,agents.txt:,2
0.001069,0,1,436,1390,434,434,434,434,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.050975,CBS with AStar,agents.txt:,2
0.002247,0,1,598,2097,596,596,596,596,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.04229,CBS with AStar,agents.txt:,2
0.000716,0,1,353,1058,351,351,351,351,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.042498,CBS with AStar,agents.txt:,2
0.001397,0,1,601,2114,599,599,599,599,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.04293,CBS with AStar,agents.txt:,2
0.001492,0,1,671,2447,669,669,669,669,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.042402,CBS with AStar,agents.txt:,2
0.001068,0,1,431,1535,429,429,429,429,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.047917,CBS with AStar,agents.txt:,2
0.00297,0,1,792,2665,790,790,790,790,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.053207,CBS with AStar,agents.txt:,2
0.003674,0,1,777,2767,774,774,774,774,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.105165,CBS with AStar,agents.txt:,3
0.003623,0,1,678,2377,675,675,675,675,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.138079,CBS with AStar,agents.txt:,3
0.001516,0,1,517,1791,514,514,514,514,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.094881,CBS with AStar,agents.txt:,3
0.003926,1,3,1452,6034,694,694,694,694,0,1,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,4e-06,0.000103,0.002064,0.002095,0.06412,CBS with AStar,agents.txt:,3
0.0019,0,1,785,2922,782,782,782,782,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.06664,CBS with AStar,agents.txt:,3
0.000861,0,1,419,1267,416,416,416,416,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.057275,CBS with AStar,agents.txt:,3
0.001303,0,1,641,2199,638,638,638,638,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.058074,CBS with AStar,agents.txt:,3
0.00201,0,1,972,3592,969,969,969,969,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.054324,CBS with AStar,agents.txt:,3
0.001704,0,1,706,2692,703,703,703,703,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.055537,CBS with AStar,agents.txt:,3
0.001792,0,1,843,3168,840,840,840,840,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.056024,CBS with AStar,agents.txt:,3
0.000873,0,1,439,1201,435,435,435,435,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.073848,CBS with AStar,agents.txt:,4
0.001397,0,1,684,2338,680,680,680,680,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.073954,CBS with AStar,agents.txt:,4
0.002207,0,1,968,3512,964,964,964,964,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.073947,CBS with AStar,agents.txt:,4
0.00217,0,1,958,3635,954,954,954,954,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.071403,CBS with AStar,agents.txt:,4
0.003021,0,1,1347,5346,1342,1342,1342,1342,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.073054,CBS with AStar,agents.txt:,4
0.001442,0,1,633,2529,629,629,629,629,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.073533,CBS with AStar,agents.txt:,4
0.001427,0,1,616,2202,612,612,612,612,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.078765,CBS with AStar,agents.txt:,4
0.003287,0,1,1259,5008,1255,1255,1255,1255,0,0,0,0,0,0,0,0,0,0,0,6e-06,0,0,0,0,0,0,0,0,0.084179,CBS with AStar,agents.txt:,4
0.000759,0,1,286,1005,282,282,282,282,0,0,0,0,0,0,0,0,0,0,0,2e-06,0,0,0,0,0,0,0,0,0.084523,CBS with AStar,agents.txt:,4
0.005855,0,1,1203,4804,1199,1199,1199,1199,0,0,0,0,0,0,0,0,0,0,0,1.8e-05,0,0,0,0,0,0,0,0,0.109001,CBS with AStar,agents.txt:,4
0.005616,0,1,1278,5213,1273,1273,1273,1273,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0.206177,CBS with AStar,agents.txt:,5
0.004487,0,1,1141,4591,1136,1136,1136,1136,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.129029,CBS with AStar,agents.txt:,5
0.008306,0,1,1304,5410,1299,1299,1299,1299,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0.222733,CBS with AStar,agents.txt:,5
0.005139,0,1,1109,4332,1104,1104,1104,1104,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.203384,CBS with AStar,agents.txt:,5
0.002979,0,1,1019,4192,1014,1014,1014,1014,0,0,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0,0,0,0.123633,CBS with AStar,agents.txt:,5
0.002651,0,1,777,3010,772,772,772,772,0,0,0,0,0,0,0,0,0,0,0,5e-06,0,0,0,0,0,0,0,0,0.116222,CBS with AStar,agents.txt:,5
0.005771,2,5,1409,5174,601,601,599,599,0,2,0,0,0,0,0,0,0,0,0,1.8e-05,0,0,0,0,5e-06,0.000343,0.003315,0.003339,0.124822,CBS with AStar,agents.txt:,5
0.00433,0,1,974,3858,969,969,969,969,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0.200416,CBS with AStar,agents.txt:,5
0.009013,0,1,1634,6617,1629,1629,1629,1629,0,0,0,0,0,0,0,0,0,0,0,2.4e-05,0,0,0,0,0,0,0,0,0.200307,CBS with AStar,agents.txt:,5
0.006953,0,1,1464,6112,1459,1459,1459,1459,0,0,0,0,0,0,0,0,0,0,0,1.5e-05,0,0,0,0,0,0,0,0,0.221284,CBS with AStar,agents.txt:,5
0.005626,0,1,1115,4610,1109,1109,1109,1109,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0.216579,CBS with AStar,agents.txt:,6
0.003772,0,1,1108,4209,1102,1102,1102,1102,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0.173675,CBS with AStar,agents.txt:,6
0.004646,0,1,1494,6257,1488,1488,1488,1488,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.124625,CBS with AStar,agents.txt:,6
0.003992,0,1,1474,6076,1461,1461,1461,1461,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.118078,CBS with AStar,agents.txt:,6
0.004473,0,1,1594,6502,1588,1588,1588,1588,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0.118104,CBS with AStar,agents.txt:,6
0.00374,0,1,1437,5799,1431,1431,1431,1431,0,0,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0,0,0,0.115582,CBS with AStar,agents.txt:,6
0.004911,0,1,1600,6524,1594,1594,1594,1594,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0.119283,CBS with AStar,agents.txt:,6
0.004657,0,1,1778,7270,1729,1729,1729,1729,0,0,0,0,0,0,0,0,0,0,0,1.6e-05,0,0,0,0,0,0,0,0,0.123523,CBS with AStar,agents.txt:,6
0.004482,0,1,1765,7350,1759,1759,1759,1759,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0.107868,CBS with AStar,agents.txt:,6
0.002647,0,1,1045,4298,1039,1039,1039,1039,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.113855,CBS with AStar,agents.txt:,6
0.00461,0,1,1368,5860,1361,1361,1361,1361,0,0,0,0,0,0,0,0,0,0,0,1.1e-05,0,0,0,0,0,0,0,0,0.150294,CBS with AStar,agents.txt:,7
0.007882,0,1,1835,7599,1821,1821,1821,1821,0,0,0,0,0,0,0,0,0,0,0,1.6e-05,0,0,0,0,0,0,0,0,0.272177,CBS with AStar,agents.txt:,7
0.024725,1,3,3443,14465,2279,2279,2278,2278,0,1,0,0,0,0,0,0,0,0,0,7.3e-05,0,0,0,0,8e-06,0.000734,0.006265,0.006331,0.262906,CBS with AStar,agents.txt:,7
0.005018,0,1,1655,6944,1648,1648,1648,1648,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0.238606,CBS with AStar,agents.txt:,7
0.003708,0,1,1268,5077,1261,1261,1261,1261,0,0,0,0,0,0,0,0,0,0,0,1e-05,0,0,0,0,0,0,0,0,0.142808,CBS with AStar,agents.txt:,7
0.005249,0,1,1650,7027,1643,1643,1643,1643,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0.128744,CBS with AStar,agents.txt:,7
0.005409,0,1,1815,7547,1808,1808,1808,1808,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0.12997,CBS with AStar,agents.txt:,7
0.007235,1,3,2239,9602,1560,1560,1560,1560,0,1,0,0,0,0,0,0,0,0,0,3e-05,0,0,0,0,4e-06,0.000364,0.002524,0.002569,0.12792,CBS with AStar,agents.txt:,7
0.0057,0,1,2025,8490,2001,2001,2001,2001,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0.129779,CBS with AStar,agents.txt:,7
0.006447,0,1,1892,8078,1885,1885,1885,1885,0,0,0,0,0,0,0,0,0,0,0,2e-05,0,0,0,0,0,0,0,0,0.134994,CBS with AStar,agents.txt:,7
0.009511,0,1,1773,7519,1759,1759,1759,1759,0,0,0,0,0,0,0,0,0,0,0,2.5e-05,0,0,0,0,0,0,0,0,0.210804,CBS with AStar,agents.txt:,8
0.005635,0,1,1812,7918,1804,1804,1804,1804,0,0,0,0,0,0,0,0,0,0,0,1.7e-05,0,0,0,0,0,0,0,0,0.199768,CBS with AStar,agents.txt:,8
0.003297,0,1,1081,4497,1073,1073,1073,1073,0,0,0,0,0,0,0,0,0,0,0,8e-06,0,0,0,0,0,0,0,0,0.15712,CBS with AStar,agents.txt:,8
0.005029,0,1,1731,7154,1723,1723,1723,1723,0,0,0,0,0,0,0,0,0,0,0,1.4e-05,0,0,0,0,0,0,0,0,0.147251,CBS with AStar,agents.txt:,8
0.004097,0,1,1394,5708,1386,1386,1386,1386,0,0,0,0,0,0,0,0,0,0,0,1.2e-05,0,0,0,0,0,0,0,0,0.149242,CBS with AStar,agents.txt:,8
0.004717,0,1,1495,6228,1487,1487,1487,1487,0,0,0,0,0,0,0,0,0,0,0,1.3e-05,0,0,0,0,0,0,0,0,0.160774,CBS with AStar,agents.txt:,8
0.009314,0,1,1420,5877,1412,1412,1412,1412,0,0,0,0,0,0,0,0,0,0,0,2.2e-05,0,0,0,0,0,0,0,0,0.237038,CBS with AStar,agents.txt:,8
0.039458,2,5,12644,32924,1953,1953,1951,1951,0,2,0,0,0,0,0,0,0,0,0,5.5e-05,0,0,0,0,8e-06,0.00087,0.030584,0.030636,0.330825,CBS with AStar,agents.txt:,8
0.008873,0,1,2115,9025,2107,2107,2107,2107,0,0,0,0,0,0,0,0,0,0,0,2.2e-05,0,0,0,0,0,0,0,0,0.25503,CBS with AStar,agents.txt:,8
0.006399,0,1,2265,9897,2257,2257,2257,2257,0,0,0,0,0,0,0,0,0,0,0,1.9e-05,0,0,0,0,0,0,0,0,0.172131,CBS with AStar,agents.txt:,8
1.2e-05,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.028256,CBS with AStar,agents.txt:,1
0.000675,0,1,224,563,223,223,223,223,0,0,0,0,0,0,0,0,0,0,0,4e-06,0,0,0,0,0,0,0,0,0.026547,CBS with AStar,agents.txt:,1
0.000777,0,1,236,595,235,235,235,235,0,0,0,0,0,0,0,0,0,0,0,3e-06,0,0,0,0,0,0,0,0,0.038422,CBS with AStar,agents.txt:,1
0.000294,0,1,77,212,76,76,76,76,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0,0,0,0,0,0.036099,CBS with AStar,agents.txt:,1
